,sym_1,sym_2,p_value,t_value,c_value,hedge_ratio,zero_crossings
59,1000LUNCUSDT,FXSUSDT,0.04,-3.44,-3.37,0.01,45
269,CELRUSDT,RSS3USDT,0.0,-4.33,-3.37,0.19,42
270,CFXUSDT,ACHUSDT,0.0,-4.29,-3.37,11.34,41
316,COTIUSDT,XLMUSDT,0.01,-3.9,-3.37,0.77,40
729,YFIUSDT,IOTXUSDT,0.0,-4.67,-3.37,290995.25,40
481,SLPUSDT,CVCUSDT,0.01,-4.06,-3.37,0.03,39
252,CEEKUSDT,JSTUSDT,0.01,-3.92,-3.37,3.01,38
656,UNIUSDT,FXSUSDT,0.01,-3.77,-3.37,0.73,38
311,COTIUSDT,RSRUSDT,0.0,-4.32,-3.37,22.98,37
448,LQTYUSDT,REEFUSDT,0.02,-3.6,-3.37,574.83,37
290,COTIUSDT,DOTUSDT,0.0,-4.33,-3.37,0.01,37
99,ALGOUSDT,APEUSDT,0.04,-3.38,-3.37,0.05,36
507,THETAUSDT,AUDIOUSDT,0.02,-3.69,-3.37,3.54,36
737,ZILUSDT,DOGEUSDT,0.0,-4.47,-3.37,0.32,36
151,BANDUSDT,CVCUSDT,0.01,-3.96,-3.37,16.71,36
124,ASTRUSDT,SUSHIUSDT,0.02,-3.6,-3.37,0.06,35
258,CEEKUSDT,SKLUSDT,0.0,-4.65,-3.37,2.2,35
241,CEEKUSDT,BALUSDT,0.0,-4.3,-3.37,0.01,35
386,ETHWUSDT,AUDIOUSDT,0.04,-3.47,-3.37,8.49,35
181,BNXUSDT,ARUSDT,0.01,-4.06,-3.37,0.07,35
240,CEEKUSDT,ASTRUSDT,0.02,-3.68,-3.37,1.39,35
424,LQTYUSDT,DUSKUSDT,0.01,-3.77,-3.37,8.61,35
422,LQTYUSDT,CVXUSDT,0.01,-4.06,-3.37,0.28,35
479,SLPUSDT,BCHUSDT,0.0,-4.78,-3.37,0.0,35
345,DGBUSDT,BCHUSDT,0.02,-3.73,-3.37,0.0,35
515,THETAUSDT,COTIUSDT,0.04,-3.4,-3.37,12.63,35
404,LINKUSDT,AUDIOUSDT,0.01,-3.92,-3.37,26.65,35
79,1000XECUSDT,ICXUSDT,0.02,-3.59,-3.37,0.1,34
76,1000XECUSDT,CVCUSDT,0.0,-4.93,-3.37,0.29,34
295,COTIUSDT,GLMRUSDT,0.01,-3.98,-3.37,0.24,34
291,COTIUSDT,ETCUSDT,0.0,-4.21,-3.37,0.0,34
248,CEEKUSDT,HNTUSDT,0.01,-3.92,-3.37,0.05,34
512,THETAUSDT,BNBUSDT,0.0,-4.71,-3.37,0.0,33
260,CEEKUSDT,STORJUSDT,0.02,-3.73,-3.37,0.24,33
287,COTIUSDT,BTCUSDT,0.0,-5.32,-3.37,0.0,33
426,LQTYUSDT,EGLDUSDT,0.01,-4.09,-3.37,0.03,33
257,CEEKUSDT,SHIB1000USDT,0.02,-3.74,-3.37,8.2,33
352,DGBUSDT,DOGEUSDT,0.01,-3.95,-3.37,0.11,33
245,CEEKUSDT,DYDXUSDT,0.01,-4.08,-3.37,0.03,33
418,LQTYUSDT,CEEKUSDT,0.02,-3.65,-3.37,17.86,33
310,COTIUSDT,ROSEUSDT,0.0,-4.54,-3.37,1.31,33
412,LQTYUSDT,BALUSDT,0.01,-3.77,-3.37,0.24,33
636,TUSDT,JSTUSDT,0.0,-4.62,-3.37,1.11,33
482,SLPUSDT,CVXUSDT,0.01,-3.93,-3.37,0.0,33
335,DARUSDT,BNBUSDT,0.04,-3.38,-3.37,0.0,33
485,SNXUSDT,CRVUSDT,0.05,-3.38,-3.37,2.85,33
634,TUSDT,ICPUSDT,0.01,-3.95,-3.37,0.01,33
172,BANDUSDT,LRCUSDT,0.01,-3.84,-3.37,4.99,33
131,BAKEUSDT,ETHUSDT,0.01,-3.84,-3.37,0.0,32
281,COTIUSDT,AVAXUSDT,0.02,-3.61,-3.37,0.0,32
392,GRTUSDT,AVAXUSDT,0.04,-3.42,-3.37,0.01,32
433,LQTYUSDT,HNTUSDT,0.04,-3.42,-3.37,0.88,32
81,1000XECUSDT,RLCUSDT,0.02,-3.61,-3.37,0.02,32
427,LQTYUSDT,ETHWUSDT,0.0,-4.72,-3.37,0.62,32
478,SKLUSDT,BNBUSDT,0.02,-3.74,-3.37,0.0,32
748,ZILUSDT,NEARUSDT,0.03,-3.55,-3.37,0.01,32
477,SKLUSDT,1000BTTUSDT,0.01,-3.79,-3.37,54.12,32
256,CEEKUSDT,RSS3USDT,0.0,-4.66,-3.37,0.64,32
389,GALUSDT,BCHUSDT,0.03,-3.52,-3.37,0.01,31
668,VETUSDT,DENTUSDT,0.04,-3.43,-3.37,22.93,31
254,CEEKUSDT,REEFUSDT,0.04,-3.46,-3.37,32.17,31
